filename,num_alpha_dihedrals,alpha_dihedral_score,num_beta_dihedrals,beta_dihedral_score,ranking_score,cluster_single,cluster_size_single,cluster_average,cluster_size_average,cluster_maximum,cluster_size_maximum,cluster_pairs_min,cluster_size_pairs_min,cluster_pairs_abs,cluster_size_pairs_abs
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_significant_ECs_0.9_7_hMIN.pdb,17,14.000000000000002,0,0,0.823529411764706,3,10,6,10,3,10,5,8,6,8
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_significant_ECs_0.9_9_hMIN.pdb,17,13.200000000000001,0,0,0.7764705882352941,3,10,6,10,3,10,5,8,6,8
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_17_9_hMIN.pdb,17,12.8,0,0,0.7529411764705882,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_17_4_hMIN.pdb,17,12.8,0,0,0.7529411764705882,2,139,5,46,2,15,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_37_1_hMIN.pdb,17,12.600000000000001,0,0,0.7411764705882353,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_significant_ECs_0.9_3_hMIN.pdb,17,12.6,0,0,0.7411764705882353,3,10,6,10,3,10,5,8,6,8
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_39_4_hMIN.pdb,17,12.600000000000001,0,0,0.7411764705882353,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_significant_ECs_0.9_2_hMIN.pdb,17,12.200000000000001,0,0,0.7176470588235295,3,10,6,10,3,10,5,8,6,8
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_29_2_hMIN.pdb,17,12.200000000000001,0,0,0.7176470588235295,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_33_3_hMIN.pdb,17,12.200000000000001,0,0,0.7176470588235295,2,139,5,46,2,15,3,11,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_significant_ECs_0.9_6_hMIN.pdb,17,12.2,0,0,0.7176470588235294,3,10,6,10,3,10,5,8,6,8
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_27_7_hMIN.pdb,17,11.800000000000002,0,0,0.6941176470588237,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_39_3_hMIN.pdb,17,11.6,0,0,0.6823529411764706,2,139,5,46,2,15,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_29_3_hMIN.pdb,17,11.6,0,0,0.6823529411764706,2,139,5,46,2,15,7,5,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_31_3_hMIN.pdb,17,11.6,0,0,0.6823529411764706,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_19_2_hMIN.pdb,17,11.6,0,0,0.6823529411764706,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_25_6_hMIN.pdb,17,11.4,0,0,0.6705882352941177,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_19_9_hMIN.pdb,17,11.4,0,0,0.6705882352941177,2,139,2,73,1,74,3,11,3,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_23_7_hMIN.pdb,17,11.4,0,0,0.6705882352941177,2,139,5,46,2,15,1,63,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_17_7_hMIN.pdb,17,10.8,0,0,0.6352941176470589,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_21_9_hMIN.pdb,17,10.799999999999999,0,0,0.6352941176470588,2,139,5,46,2,15,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_significant_ECs_0.9_8_hMIN.pdb,17,10.799999999999999,0,0,0.6352941176470588,3,10,6,10,3,10,5,8,6,8
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_21_5_hMIN.pdb,17,10.600000000000001,0,0,0.623529411764706,2,139,2,73,1,74,3,11,3,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_25_7_hMIN.pdb,17,10.6,0,0,0.6235294117647059,2,139,5,46,2,15,3,11,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_25_9_hMIN.pdb,17,10.6,0,0,0.6235294117647059,2,139,5,46,2,15,7,5,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_35_3_hMIN.pdb,17,10.200000000000001,0,0,0.6000000000000001,2,139,2,73,1,74,4,10,5,10
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_37_10_hMIN.pdb,17,10.2,0,0,0.6,2,139,5,46,5,6,2,35,0,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_35_5_hMIN.pdb,17,10.2,0,0,0.6,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_21_10_hMIN.pdb,17,10.0,0,0,0.5882352941176471,2,139,2,73,1,74,3,11,0,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_23_2_hMIN.pdb,17,10.0,0,0,0.5882352941176471,2,139,2,73,1,74,1,63,4,11
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_31_1_hMIN.pdb,17,10.0,0,0,0.5882352941176471,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_35_7_hMIN.pdb,17,10.0,0,0,0.5882352941176471,2,139,5,46,5,6,0,12,7,5
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_37_6_hMIN.pdb,17,10.0,0,0,0.5882352941176471,2,139,2,73,1,74,1,63,4,11
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_43_3_hMIN.pdb,17,10.0,0,0,0.5882352941176471,2,139,2,73,1,74,0,12,4,11
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_17_10_hMIN.pdb,17,10.0,0,0,0.5882352941176471,2,139,5,46,4,32,2,35,0,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_41_2_hMIN.pdb,17,10.0,0,0,0.5882352941176471,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_29_6_hMIN.pdb,17,9.8,0,0,0.5764705882352942,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_27_2_hMIN.pdb,17,9.8,0,0,0.5764705882352942,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_43_9_hMIN.pdb,17,9.8,0,0,0.5764705882352942,2,139,2,73,1,74,3,11,3,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_27_3_hMIN.pdb,17,9.8,0,0,0.5764705882352942,2,139,3,14,6,13,4,10,5,10
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_27_1_hMIN.pdb,17,9.799999999999999,0,0,0.5764705882352941,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_23_1_hMIN.pdb,17,9.799999999999999,0,0,0.5764705882352941,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_39_10_hMIN.pdb,17,9.799999999999999,0,0,0.5764705882352941,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_17_6_hMIN.pdb,17,9.799999999999999,0,0,0.5764705882352941,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_27_4_hMIN.pdb,17,9.799999999999999,0,0,0.5764705882352941,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_41_10_hMIN.pdb,17,9.799999999999999,0,0,0.5764705882352941,2,139,2,73,1,74,1,63,1,50
